month,year,openings,closures,net,regions_used,regions_missing
2024-01,2024,45939.0,43420.0,2519.0,12,1
2024-02,2024,44695.0,43908.0,787.0,12,1
2024-03,2024,43850.0,43590.0,260.0,12,1
2025-01,2025,45489.0,45082.0,407.0,12,1
2025-02,2025,44714.0,44467.0,247.0,12,1
2025-03,2025,44885.0,45083.0,-198.0,12,1
